Count of Labels,Column Labels,,,,,,,,,,,,,
Row Labels,0,1,2,3,4,5,Grand Total,,,,,,,
0,,,228,,,,228,,Cluster 1,0,1,2,3,None
1,,,228,,,,228,,Cluster 2,4,5,6,7,8
2,,,228,,,,228,,Cluster 3,9,10,11,12,13
3,,,228,,,,228,,Cluster 4,14,15,16,17,18
4,,,7,,221,,228,,Cluster 5,19,20,21,22,23
5,,,,,228,,228,,,,,,,
6,,,,,228,,228,,,,,,,
7,,,,,228,,228,,,,,,,
8,,,,,228,,228,,,,,,,
9,228,,,,,,228,,,,,,,
10,227,,,,,1,228,,,,,,,
11,227,,,,,1,228,,,,,,,
12,223,,,,,5,228,,,,,,,
13,192,,,,,36,228,,,,,,,
14,,,,166,,62,228,,,,,,,
15,,,,155,,73,228,,,,,,,
16,,,,154,,74,228,,,,,,,
17,,,,153,,75,228,,,,,,,
18,,,,151,,77,228,,,,,,,
19,,201,,14,,13,228,,,,,,,
20,,227,,,,1,228,,,,,,,
21,,228,,,,,228,,,,,,,
22,,228,,,,,228,,,,,,,
23,,228,,,,,228,,,,,,,
Grand Total,1097,1112,919,793,1133,418,5472,,,,,,,
