Count of Labels,Column Labels,,,,,,,,Cluster 1,0,1,2,3
Row Labels,0,1,2,3,4,5,Grand Total,,Cluster 2,4,5,6,7
0,,500,,,,,500,,Cluster 3,8,9,10,11
1,,500,,,,,500,,Cluster 4,12,13,14,15
2,,500,,,,,500,,Cluster 5,16,17,18,19
3,,500,,,,,500,,Cluster 6 ,20,21,22,23
4,,4,,496,,,500,,,,,,
5,,,,500,,,500,,,,,,
6,,,,500,,,500,,,,,,
7,,,,500,,,500,,,,,,
8,,,,,500,,500,,,,,,
9,,,,,500,,500,,,,,,
10,,,,,500,,500,,,,,,
11,,,,,500,,500,,,,,,
12,500,,,,,,500,,,,,,
13,500,,,,,,500,,,,,,
14,500,,,,,,500,,,,,,
15,452,,48,,,,500,,,,,,
16,,,500,,,,500,,,,,,
17,,,498,,,2,500,,,,,,
18,,,486,,,14,500,,,,,,
19,,,349,,,151,500,,,,,,
20,,,3,,,497,500,,,,,,
21,,,,,,500,500,,,,,,
22,,,,,,500,500,,,,,,
23,,,,,,500,500,,,,,,
Grand Total,1952,2004,1884,1996,2000,2164,12000,,,,,,
